CONTROL	GUT	IMMMUNE
NTN5	10244	14240	10520
NUPR1	51	56	132
NXPE1	16507	501	18409
NXPE2	15440	7692	20817
NXPE4	15794	168	16830
OLFML3	352	401	2192
OLIG3	24379	19479.5	18486
ORAI3	2723	2554	1023
ORMDL3	339	1349	414
OSM	4455	8174	181
OTUD3	3980	6045	6104
P4HA2	1937	3796	6540
P4HTM	1129	2279	4433
PANK4	2300	3474	3236
PAPOLG	6646	9332	5539
PARD3	1479	947	4508
PARK7	220	332	301
PCDH12	1602	7501	1671
PCIF1	1285	1583	956
PCP4L1	66	1051	5996
PDE4A	2641	4043	2037
PDGFB	587	1893	4945
PDLIM4	555	339	5248
PER3	983	1624	3464
PEX10	4336	5965	5384
PEX13	2739	3337	1967
PFKFB3	34	379	117
PFKFB4	5207	3669	700
PFKL	298	327	381
PGAP3	2326	1631	1931
PHKG2	2421	1895	1531
PHLDB1	476	1412	2566
PHTF1	2578	10215	1997
PKIG	327	253	2091
PKLR	13643	5875	668
PLA2G2A	10	15	15
PLA2G2E	17861	20598	22135.5
PLCH2	271	1275	1965
PLEKHH2	1406	3358	7200
PLEKHH3	1074	1160	2574
PLTP	84	151	99
PLXDC1	1602	3078	5252
PLXNB1	388	383	622
PMPCA	1954	2288	1266
PNMT	1045	1698	5800
POLR2E	319	443	419
PPDPF	80	68	115
PPIF	407	358	232
PPIL2	4644	4327	4677
PPP1R1B	12	189	4859
PPP5D1	12871	17288.5	15529.5
PRDM1	5959	562	1697
PRKAA1	1193	2267	1871
PRKAR2A	937	4125	2930
PRKD2	1617	1742	428
PRKRIR	1731	2844	2841
PRM1	879	2669	3996
PRM2	815	2267	4025
PRM3	18664	18608.5	12770
PRMT7	2168	4892	5257
PRPF19	249	566	386
PRR14	1312	1164	829
PRSS36	6424	9677	4698
PRSS53	5730	9182	2821
PRSS8	7412	109	987
PSMC3IP	3996	5999	4691
PSMD3	177	646	534
PSME3	1361	1240	928
PSMG2	738	988	854
PTGER4	3305	3108	1476
PTGIR	362	1872	2724
PTK6	9365	305	5564
PTPN2	2944	5572	2452
PTPN22	8990	5998	1389
PTPRK	2400	2275	4011
PTRF	53	46	280
PUS10	8608	10050	7033
PWP2	2586	3293	2380
PYCARD	914	654	122
PYDC1	1957	18015.5	16130
QARS	654	407	617
QRICH1	1242	1425	1623
QSOX2	1353	2590	2704
RAB1A	279	304	302
RAB25	5452	140	6868
RAB5C	2706	2479	1794
RABEP2	4397	2826	2567
RAD50	3484	4631	2583
RAMP2	140	392	764
RASGRP1	1939	5321	1827
RASIP1	623	278	1521
RASSF1	666	887	590
RASSF5	827	1271	481
RAVER1	3065	1893	1334
RBM17	1206	1927	1645
RBM22	1895	2942	1352
RBM5	243	378	378
RBM6	382	224	334
RBM7	12701	14987	10333.5
